Restaurants,address,city,ratings,prices,cuisines,Meal_Type,Restaurant_offer_percentage,Online_payment_offer_percentage
Kitchen District,"Hyatt Centric Janakpuri, New Delhi",Delhi,3.6,2300,Multicuisine,Dinner,50,25
Caffe Bella Italia,"Gwal Pahari, Gurgaon",Gurgaon,4.7,600,"Beverages, Italian",Dinner,25,25
Ssence,"The Suryaa Hotel, New Delhi",Delhi,4.4,3000,Multicuisine,Dinner,25,25
Classy Cafe Bar & Restaurant ,"South Extension 1, South Delhi",Delhi,4.5,1200,"Cocktail Menu, Multicuisine",Dinner,20,25
Bekal Cafe,"Techzone 4, Greater Noida, Noida",Noida,4.6,1200,Multicuisine,Dinner,20,25
Ching Singh,"Logix City Centre Mall, Noida",Noida,4.4,1200,"Chinese, Indian, Multicuisine, Pan Asian",Dinner,15,25
K3,"JW Marriott Aerocity, New Delhi",Delhi,4.4,3000,Multicuisine,Dinner,25,25
CAD Tech Bar,"Sector 94, Noida",Noida,4.4,1500,Multicuisine,Dinner,30,25
The Chocolate Room,"Rajouri Garden, West Delhi",Delhi,4.4,1200,Cafe,Dinner,15,25
F Bar & Lounge,"Gardens Galleria Mall, Sector 38 Noida",Noida,3.3,1500,Multicuisine,Dinner,30,25
Home,"Ambience Mall, Vasant Kunj",Vasant Kunj,4.3,3000,"European, Japanese, Modern Indian",Dinner,25,25
Orange Room By Habbit,"Vasant Vihar, South Delhi",Delhi,4.3,1500,Multicuisine,Dinner,15,25
D' Wood Cafe,"GM Mall, Greater Noida",Noida,4.0,1000,"Chinese, Indian",Dinner,25,25
Cafe High Octane,"Sector 135, Noida",Noida,4.0,1000,Street Food,Dinner,25,25
#3Bros Express,"Sector 75, Noida",Noida,4.0,600,Pan Asian,Dinner,25,25
Zenba,"Vibe by the Lalit Traveller, Faridabad",Faridabad,4.0,1200,Multicuisine,Dinner,25,25
The Coffee Bean & Tea Leaf	,"Rajouri Garden, West Delhi",Delhi,4.2,600,Coffee and Tea,Dinner,30,25
Uncle's Delhi,"Vasant Vihar, South Delhi",Delhi,5.0,1000,Multicuisine,Dinner,20,25
Kewaan,"Malviya Nagar, South Delhi",Delhi,5.0,1500,Pan Asian,Dinner,15,25
Cafe C,"DLF South Court Mall, Saket",Saket,3.0,1500,Multicuisine,Dinner,30,25
Made In India ,"Radisson Blu MBD, Noida",Noida,4.4,4800,North Indian,Dinner,15,25
Chi Ni,"The Roseate, New Delhi",Delhi,4.8,4000,Chinese,Dinner,20,25
Zorro,"Sector 29, Gurgaon",Gurgaon,3.7,1200,Multicuisine,Dinner,40,25
Asper,"The Kitchens, Gurgaon",Gurgaon,4.3,2500,"European, Middle Eastern",Dinner,20,25
W XYZ,Aloft Hotel Aerocity New Delhi,Delhi,3.6,2500,"Finger Food, Cocktail Menu",Dinner,25,25
Carnivale,"Galaxy blue Sapphire Mall,Greater Noida",Noida,3.9,1500,Indian,Dinner,30,25
Kurama - The Rooftop Cafe & Restaurant,"Majnu ka Tila, North Delhi",Delhi,4.2,700,Multicuisine,Dinner,15,25
Kijiji On The Roof ,"Sector 47, Gurgaon",Gurgaon,4.7,1800,"Cocktail Menu, Multicuisine",Dinner,20,25
Malamen Kitchen and Bar,"Okhla Phase 3, South Delhi",Delhi,4.6,1200,Multicuisine,Dinner,20,25
Guunaaj By Cafe Olgaa,"Paschim Vihar, West Delhi",Delhi,4.7,1300,Multicuisine,Dinner,25,25
Jujube Asian Experience,"Sector 59, Gurgaon",Gurgaon,4.9,1500,Asian,Dinner,20,25
Talli Station,"Rajendra Place, Central Delhi",Delhi,4.2,600,"Cocktail Menu, Multicuisine",Dinner,10,25
Spaced Out Cafe,"Shahpur Jat, South Delhi",Delhi,4.9,1200,Cafe,Dinner,10,25
T.K'S Oriental Grill,"Hyatt Regency, New Delhi",Delhi,4.5,4000,Japanese,Dinner,15,25
Zaza - All Day Dining,"Greater Kailash (GK) 1, South Delhi",Delhi,3.0,1500,Multicuisine,Dinner,20,25
Vapour Bar Exchange,"Sohna Road, Gurgaon",Gurgaon,4.4,1600,"Cocktail Menu, Multicuisine",Dinner,25,25
Café  ,"Hyatt Regency, New Delhi",Delhi,4.4,4000,Multicuisine,Dinner,15,25
Sufiaana,"Ashok Vihar Phase 2, North Delhi",Delhi,3.7,2000,North Indian,Dinner,10,25
Molecule,"Sector 98, Noida",Noida,4.0,2500,"Cocktail Menu, Multicuisine",Dinner,10,25
Sky Rozo,"Janakpuri, West Delhi",Delhi,3.8,1400,"Chinese, North Indian, Thai, Continental",Dinner,15,25
Spice Art – The Indian Restaurant,"Crowne Plaza, Greater Noida",Noida,4.8,2500,Indian,Dinner,15,25
Muruku,"Rajouri Garden, West Delhi",Delhi,4.0,500,South Indian,Dinner,20,25
Dirty Rabbit,"Kailash Colony, South Delhi",Delhi,4.0,1800,Multicuisine,Dinner,30,25
Sankalp A Multicuisine Restaurant,"Sector 13, Dwarka, West Delhi",Delhi,4.0,1200,Multicuisine,Dinner,15,25
Veranda ,"Park Plaza, Faridabad",Faridabad,4.2,2200,Multicuisine,Dinner,25,25
Edna,"Greater Kailash (GK) 2, South Delhi",Delhi,5.0,1800,"European, Indian, Mexican",Dinner,25,25
Kawaii,"GTB Nagar, North Delhi",Delhi,4.1,1000,Multicuisine,Dinner,30,25
DnD's - Drinks N Dine,"Sector 6, Dwarka, West Delhi",Delhi,4.1,1000,"Cocktail Menu, Multicuisine",Dinner,20,25
21 Shots Skybar & Brewery,"Sector 56, Gurgaon",Gurgaon,4.6,1500,Multicuisine,Dinner,20,25
Unico,"Global Foyer Mall, Gurgaon",Gurgaon,4.8,2000,European,Dinner,25,25
The Mohans Resto Bar,"Ashok Vihar Phase 1, North Delhi",Delhi,3.5,500,North Indian,Dinner,15,25
Bonne Foi 65,"East of Kailash, South Delhi",Delhi,4.5,1200,Multicuisine,Dinner,10,25
Fabcafe by Fabindia,"Golf Course Road, Gurgaon",Gurgaon,4.6,1200,Multicuisine,Dinner,10,25
Soy & Curry,"Sector 86, Gurgaon",Gurgaon,4.5,1000,Multicuisine,Dinner,15,25
Cafe Mez,"Cyber Hub, Gurgaon",Gurgaon,4.5,1500,"Middle Eastern, Mediterranean",Dinner,15,25
The Establishment,"Amrapali Leisure Valley, Greater Noida",Noida,4.5,1400,Multicuisine,Dinner,15,25
Show Sha Baazi,"Preet Vihar, East Delhi",Delhi,3.7,1000,Multicuisine,Dinner,30,25
Reader's Coffee House,"Sector 18, Noida",Noida,4.5,1000,Continental,Dinner,15,25
Verde by Game Palacio,"DLF Mall of India, Sector 18, Noida",Noida,4.0,2000,Multicuisine,Dinner,30,25
The Switch,"Sector 43, Gurgaon",Gurgaon,4.0,1200,Multicuisine,Dinner,20,25
Cuoco The Cafe,"Prashant Vihar, North Delhi",Delhi,3.0,600,Multicuisine,Dinner,25,25
Shanghai by Lamppost,"Global Foyer Mall, Gurgaon",Gurgaon,3.7,2500,Pan Asian,Dinner,20,25
Connexions,"Crowne Plaza, Gurgaon",Gurgaon,4.6,2500,Cocktail Menu,Dinner,25,25
Saucy Cocktail Garden,"Vishal Enclave, Rajouri Garden, West Delhi",Delhi,3.4,2000,Multicuisine,Dinner,30,25
House of Migo,"Sector 143, Noida",Noida,4.7,2000,"Italian, Multicuisine",Dinner,15,25
Raasa Awadh,"DLF Phase 1, Gurgaon",Gurgaon,5.0,600,Multicuisine,Dinner,15,25
Jungle Barbeque,"Sector 32, Noida",Noida,3.6,1400,Multicuisine,Dinner,20,25
Kaya House,"Sector 65, Gurgaon",Gurgaon,5.0,1000,Singaporean,Dinner,15,25
Kogai Japanese Dining,"Global Foyer Mall, Gurgaon",Gurgaon,4.3,1400,"Japanese, Sushi",Dinner,25,25
Bella Ciao,"Greater Kailash (GK) 2, South Delhi",Delhi,3.7,1300,Multicuisine,Dinner,30,25
Zaama Bar Kitchen Lounge ,"Sector 113, Gurgaon",Gurgaon,4.8,2000,Multicuisine,Dinner,15,25
Tizoe,"Khel Gaon Marg, South Delhi",Delhi,2.5,1300,Multicuisine,Dinner,35,25
Mala-Akbari,"32nd Avenue, Gurgaon",Gurgaon,4.4,1800,Indian,Dinner,15,25
ROOH,"Mehrauli, South Delhi",Delhi,4.4,3500,"Modern Indian, Cocktail Menu",Dinner,10,25
IFC Moti Mahal,"Sector 66, Gurgaon",Gurgaon,4.1,1100,North Indian,Dinner,25,25
Café Ciro,"Sector 120, Noida",Noida,4.5,1000,Multicuisine,Dinner,10,25
AIR- An Ivory Region ,"Punjabi Bagh, West Delhi",Delhi,3.8,1200,Multicuisine,Dinner,20,25
Moets,"Sector 70, Gurgaon",Gurgaon,4.4,2000,Multicuisine,Dinner,15,25
 Kebab House By Habbit ,"Basant Lok, Vasant Vihar, South Delhi",Delhi,4.0,1000,North Indian,Dinner,35,25
The Wine Company,"Cyber Hub, Gurgaon",Gurgaon,4.4,1900,Multicuisine,Dinner,15,25
The Street Chimney,"Rajouri Garden, West Delhi",Delhi,4.0,1000,Multicuisine,Dinner,30,25
Coffee Island ,"Netaji Subhash Place, North Delhi",Delhi,4.0,500,"Cafe, Sandwiches, Coffee",Dinner,10,25
The Pint Room,"Vasant Vihar, South Delhi",Delhi,4.0,1500,"Cocktail Menu, Finger Food",Dinner,10,25
Uncultured Cafe & Bar,"Kailash Colony, South Delhi",Delhi,4.2,1500,Multicuisine,Dinner,30,25
Underdoggs,"Sector 62, Noida",Noida,4.7,1800,Multicuisine,Dinner,20,25
Cafe After Hours,"Paschim Vihar, West Delhi",Delhi,3.9,1200,Multicuisine,Dinner,30,25
Say Fontina,"Sector 129, Noida",Noida,4.3,1200,Multicuisine,Dinner,25,25
United Coffee House Rewind,"Cyber Hub, Gurgaon",Gurgaon,4.4,1000,Multicuisine,Dinner,25,25
Dosa Planet,"Kashmiri Gate, East Delhi",Delhi,4.4,500,South Indian,Dinner,15,25
Kamikaze By the Game Palacio,"DLF Mall of India, Sector 18, Noida",Noida,3.5,1500,Multicuisine,Dinner,30,25
Tama Brewery And World Kitchen,"Sector 16, Faridabad",Faridabad,4.3,1750,Multicuisine,Dinner,15,25
Soul Pantry,"Andaz Delhi, Aerocity",Delhi,4.8,2000,Healthy Food,Dinner,20,25
 Juu Juu,"Sector 58, Gurgaon",Gurgaon,4.1,2000,"Mediterranean, Middle Eastern",Dinner,15,25
Gastronomica,"Sector 66, Gurgaon",Gurgaon,4.0,2000,Multicuisine,Dinner,20,25
The Game Palacio,"DLF Mall of India, Sector 18, Noida",Noida,4.0,1500,Multicuisine,Dinner,30,25
All Day Diner,"Sunday Hotels and Residences, Gurgaon",Gurgaon,4.0,1000,Multicuisine,Dinner,50,25
Zylo by Kakapo,"Mehrauli, South Delhi",Delhi,4.2,3000,Multicuisine,Dinner,20,25
Bobachee by Chef Yuvraj Kohli,"South Extension 2, South Delhi",Delhi,4.2,1800,Multicuisine,Dinner,25,25
Cafe Fika ,"Hauz Khas Village, South Delhi",Delhi,4.0,1200,Cafe,Dinner,25,25
Makhna Deli,"Greater Kailash (GK) 1, South Delhi",Delhi,4.0,1800,Indian,Dinner,20,25
Castle's Barbeque,"Sector Alpha 2, Noida",Noida,3.7,1200,Multicuisine,Dinner,40,25
Cena Pranzo – Italian Eatery,"Grand Hyatt, Gurgaon",Gurgaon,4.1,4000,"Desserts, Italian",Dinner,15,25
Keasar Fine Dining,"Vikas Marg, East Delhi",Delhi,2.0,1200,Multicuisine,Dinner,25,25
Paprika,"ExpoInn Suites & Convention, Noida",Noida,5.0,1500,Multicuisine,Dinner,25,25
Old Street Cafe & Lounge,"Vijay Nagar, North Delhi",Delhi,5.0,1100,Multicuisine,Dinner,20,25
Burash,"Sector 132, Noida",Noida,3.9,1900,Mediterranean,Dinner,15,25
Pinch of Spice,"Sector 10, Dwarka, West Delhi",Delhi,4.5,1400,Multicuisine,Dinner,10,25
Atrium Bar  & Lounge,"The Suryaa Hotel, New Delhi",Delhi,4.0,3000,"Cocktail Menu, Finger Food",Dinner,20,25
SXVIII,"Radisson Blu MBD, Noida",Noida,4.3,4000,Multicuisine,Dinner,15,25
Panoramic,"Suraj Kund, Faridabad",Faridabad,3.7,2100,"Chinese, Indian",Dinner,50,25
Zaffran - by Kasbah,"Greater Kailash (GK) 1, South Delhi",Delhi,4.2,1100,North Indian,Dinner,15,25
Miss Nora,"Sector 43, Noida",Noida,3.7,1500,Pan Asian,Dinner,25,25
Cicily,"Sector 12, Faridabad",Faridabad,3.5,1200,Multicuisine,Dinner,25,25
Zanotta ,"The Leela Ambience, Gurgaon",Gurgaon,4.6,4000,Italian,Dinner,20,25
Karim's,"Sector 104, Noida",Noida,3.9,800,Mughlai,Dinner,10,25
Jamun,"Lodhi Colony, South Delhi",Delhi,4.4,1400,Modern Indian,Dinner,1,1
Pups & Cups Cafe,"Sector 72, Noida",Noida,5.0,1000,"Cafe, Multicuisine",Dinner,10,25
Downtown South Point Mall,"Sector 53, Gurgaon",Gurgaon,4.5,1800,"Chinese, North Indian",Dinner,20,25
Cafe Breeze - Air By Ahuja Residency,"Sector 25, Gurgaon, Gurgaon",Gurgaon,4.0,1000,Multicuisine,Dinner,15,25
V Club,"Sector 48, Gurgaon",Gurgaon,4.0,1000,Multicuisine,Dinner,15,25
Seoul Restaurant,"Select Citywalk Mall, Saket",Saket,5.0,2000,Korean,Dinner,10,25
Cabaana Kitchen & Bar,"Preet Vihar, East Delhi",Delhi,4.4,1500,Multicuisine,Dinner,15,25
CAD Techbar & Craftkitchen,"32nd Avenue, Gurgaon",Gurgaon,4.2,1800,"Cocktail Menu, Modern Indian",Dinner,25,25
Sparrow,"Sector 96, Noida",Noida,5.0,1500,Multicuisine,Dinner,15,25
Pinxx - Bar,"Sector 49, Gurgaon",Gurgaon,2.0,1200,Cocktail Menu,Dinner,25,25
EEST ,"The Westin, Gurgaon",Gurgaon,4.7,3600,Pan Asian,Dinner,40,25
Brick N Bean Cafe,"Nirvana Country, Gurgaon",Gurgaon,4.7,1000,"Cafe, European",Dinner,10,25
Downtown Village,"Hauz Khas Village, South Delhi",Delhi,3.1,1200,Multicuisine,Dinner,20,25
Zodiac,"Fortune Park, East Delhi",Delhi,5.0,1500,Multicuisine,Dinner,25,25
Levernasia,"Gardens Galleria Mall, Sector 38 Noida",Noida,4.0,1600,Multicuisine,Dinner,30,25
NAO - Next Asian Outing,"Greater Kailash (GK) 2, South Delhi",Delhi,5.0,1800,"Pan Asian, Thai Food",Dinner,15,25
Central Delhi From The House of CP's Minar Since 1970,"M3M IFC, Sector 66, Gurgaon",Gurgaon,4.5,2200,Indian,Dinner,35,25
Melange,"The Pllazio Hotel, Gurgaon",Gurgaon,4.3,1700,Multicuisine,Dinner,15,25
Della Nucci,"Sector 104, Noida",Noida,4.0,1000,Multicuisine,Dinner,30,25
Nakshatra Sky Dining,"Vivek Vihar, East Delhi",Delhi,4.0,2000,Multicuisine,Dinner,25,25
Cafe D'or,"Vasant Kunj, South Delhi",Vasant Kunj,4.0,1600,Multicuisine,Dinner,30,25
Ivory Tap,"Sector 63, Noida",Noida,4.0,1800,Multicuisine,Dinner,30,25
Belmonte,"Kalkaji, South Delhi",Delhi,3.6,800,Multicuisine,Dinner,15,25
Marbia,"New Friends Colony, South Delhi",Delhi,3.9,2000,Multicuisine,Dinner,20,25
Impulse,"Sector 38, Noida",Noida,1.0,1100,Multicuisine,Dinner,20,25
Food Frolic Microbrewery & Bar,"Sector 83, Gurgaon",Gurgaon,4.0,2000,Multicuisine,Dinner,50,25
Chatori Kitchen,"Sector 144, Noida",Noida,5.0,1500,"Chinese, North Indian",Dinner,25,25
Elina Vara,"Chattarpur, South Delhi",Delhi,4.6,2500,"European, Pan Asian",Dinner,10,25
Upgrade Kitchen & Bar,"New Friends Colony, South Delhi",Delhi,4.0,800,"Cocktail Menu, Multicuisine",Dinner,20,25
My Buffet Restaurant & Bar,"Sector 62, Noida",Noida,1.0,800,Multicuisine,Dinner,30,25
B Takshila,"New Industrial Town, Faridabad",Faridabad,5.0,800,Multicuisine,Dinner,25,25
Sky Grill - A Mediterranean Experience,"Radisson Blu Towers Kaushambi Delhi NCR, Ghaziabad",Delhi,5.0,2400,Mediterranean,Dinner,25,25
Laila By Ebowla BYOB,"South City 1, Gurgaon",Gurgaon,5.0,1200,Multicuisine,Dinner,30,25
IKI & GAI,"R K Puram, South Delhi",Delhi,5.0,3000,Global Cuisine,Dinner,15,25
Cafe Nipaso,"Golf Course Road, Gurgaon",Gurgaon,5.0,800,Multicuisine,Dinner,25,25
Cafe Pamaa,"Sector 141, Noida",Noida,4.5,1000,Multicuisine,Dinner,25,25
Ivoryy Delhi,"Malviya Nagar, South Delhi",Delhi,4.1,1200,Multicuisine,Dinner,15,25
Unlocked - Bar.Kitchen.Escape Room,"32nd Avenue, Gurgaon",Gurgaon,4.1,1200,Continental,Dinner,15,25
Barcode,"Dwarka, West Delhi",Delhi,4.1,1200,Multicuisine,Dinner,25,25
Palmyra,"The Bristol, Gurgaon",Gurgaon,4.4,2500,Multicuisine,Dinner,25,25
Pincode By Chef Kunal Kapur,"Select Citywalk Mall, Saket",Saket,4.1,1200,Indian,Dinner,15,25
Fat Lulu's,"Worldmark 4, Sector 65, Gurgaon",Gurgaon,4.4,1500,"Italian, Pizza",Dinner,25,25
The Pit Restaurant,"Global Foyer Mall, Gurgaon",Gurgaon,5.0,1200,"Italian, Barbeque",Dinner,15,25
Blooms Cafe & Lounge,"Lajpat Nagar 2, South Delhi",Delhi,4.0,1000,Multicuisine,Dinner,20,25
Ambrosia,"The Golden Palms Hotel, New Delhi",Delhi,4.1,1500,Multicuisine,Dinner,30,25
Ethyl,"Radisson, Noida",Noida,4.3,4000,Finger Food,Dinner,25,25
Juuls,"Sector 104, Noida",Noida,3.7,1000,Multicuisine,Dinner,30,25
Remy's,"The Boulevard At Magnum Global Park, Sector 58, Gurgaon",Gurgaon,5.0,2800,Italian,Dinner,20,25
Sonido,"Hauz Khas Village, South Delhi",Delhi,3.9,1000,Multicuisine,Dinner,20,25
Emerald House,"Ashok Vihar Phase 2, North Delhi",Delhi,5.0,1000,Multicuisine,Dinner,15,25
Rustique - Cafe & Bar,"Adchini, South Delhi",Delhi,4.5,1200,Continental,Dinner,20,25
Wolves Cave,"CBD Mall, Faridabad",Faridabad,4.9,1800,Multicuisine,Dinner,20,25
Dhaba By Wakhra Swaad,"Sector 11, Noida",Noida,4.1,700,Indian,Dinner,10,25
Banjara,"Goldfinch Hotel, Faridabad",Faridabad,4.0,2000,Multicuisine,Dinner,25,25
Depot 48,"Greater Kailash (GK) 2, South Delhi",Delhi,4.2,1800,"Mexican, American",Dinner,15,25
The Forestta,"Sector 54, Gurgaon",Gurgaon,3.8,1000,Multicuisine,Dinner,10,25
Cecilia's Pizzeria,"Panchsheel Park, South Delhi",Delhi,4.3,1200,Italian,Dinner,15,25
Breakin’ Brew,"Sector 66, Gurgaon",Gurgaon,5.0,700,Multicuisine,Dinner,15,25
Solanas Chinese & Thai,"DLF Phase 4, Gurgaon",Gurgaon,4.3,800,Chinese,Dinner,25,25
Maruchi - Tavern on the Greens,"Lado Sarai, South Delhi",Delhi,4.3,1500,Pan Asian,Dinner,25,25
Foresta,"Saidulajab, South Delhi",Delhi,4.5,800,Multicuisine,Dinner,20,25
Kocktails & Kurries,"Pitampura, North Delhi",Delhi,4.2,1200,Multicuisine,Dinner,25,25
Magadh and Awadh,"DLF Phase 4, Gurgaon",Gurgaon,4.0,1000,Multicuisine,Dinner,10,25
The Curry Leaf,"New Industrial Town, Faridabad",Faridabad,4.0,900,Multicuisine,Dinner,10,25
Salt & Smoke,"Punjabi Bagh, West Delhi",Delhi,4.0,1200,Multicuisine,Dinner,35,25
Mix Lounge and Bar,"The Westin, Gurgaon",Gurgaon,4.6,2000,"Cocktail Menu, Finger Food",Dinner,25,25
 Genzee Cafe & Fine Dine,"Sector 75, Noida",Noida,4.0,1200,Multicuisine,Dinner,10,25
The Coffee Leaf,"Sector 76, Noida",Noida,4.0,1150,Cafe,Dinner,10,25
Rubato- Bistro & Lounge,"M3m 65th Avenue, Sector 65, Gurgaon",Gurgaon,5.0,1500,"Italian, Mexican, North Indian, Continental",Dinner,25,25
Dwarka SYD Rooftop Cafe,"Sector 12, Dwarka, West Delhi",Delhi,4.2,700,Multicuisine,Dinner,20,25
REVE,"The Walk, Worldmark Delhi",Delhi,4.6,1500,European,Dinner,10,25
Welcome Restro & BAR,"Delta I, Greater Noida, Noida",Noida,4.0,1600,North Indian,Dinner,10,25
Beyond Design Bistro,"Sultan Pur, South Delhi",Delhi,4.0,1300,Multicuisine,Dinner,20,25
Railicious - Swad Ki Railgadi,"Sector 78, Noida",Noida,3.2,1200,Multicuisine,Dinner,30,25
Juniper Bar,"Andaz Delhi, Aerocity",Delhi,4.2,2500,"European, North Indian",Dinner,30,25
Akra,"Lajpat Nagar 3, South Delhi",Delhi,2.3,1500,Multicuisine,Dinner,25,25
Prego ,"The Westin, Gurgaon",Gurgaon,4.3,3000,Italian,Dinner,40,25
Mona cava,"Aurobindo Marg, South Delhi",Delhi,3.9,1500,Multicuisine,Dinner,25,25
Pie 79,"Sector 20, Faridabad",Faridabad,3.8,400,Pizza,Dinner,10,25
Downtown Skye Alfresco & Brewery,"Sector 54, Gurgaon",Gurgaon,4.8,1800,Multicuisine,Dinner,30,25
Civil Lines Social,"Civil Lines, North Delhi",Delhi,4.1,1800,Casual Eclectic,Dinner,20,25
Zoca Diner,"Sector 99, Gurgaon, Gurgaon",Gurgaon,3.5,1000,Multicuisine,Dinner,10,25
The Bar,"Hyatt Place, Gurgaon",Gurgaon,4.0,1500,Finger Food,Dinner,25,25
Poornatva Organic Cafe And Bakery,"Sector 49, Noida",Noida,4.0,1000,Bakery,Dinner,25,25
Leaf,"Sector 86, Faridabad",Faridabad,2.0,1200,Multicuisine,Dinner,20,25
My Tea Chapel,"Cyber Hub, Gurgaon",Gurgaon,4.6,1000,"Beverages, Pizza",Dinner,25,25
Diya ,"The Leela Ambience, Gurgaon",Gurgaon,4.4,4500,Regional Indian,Dinner,20,25
EBISU Fine Japanese Cuisine,"Sector 54, Gurgaon",Gurgaon,4.7,1200,Japanese,Dinner,10,25
Prate Cafe,"Sector 67, Gurgaon",Gurgaon,5.0,1400,Multicuisine,Dinner,20,25
Jalsa cafe,"Vikaspuri, West Delhi",Delhi,5.0,500,Multicuisine,Dinner,20,25
The Masala Story,"South City 2, Gurgaon",Gurgaon,5.0,900,North Indian,Dinner,20,25
La Fierte Restro And Bar ,"Greater Noida, Noida",Noida,5.0,1000,Multicuisine,Dinner,30,25
 Solasta Cafe,"Gwal Pahari, Gurgaon",Gurgaon,4.0,800,Multicuisine,Dinner,25,25
Moreish Courtyard,"Saidulajab, South Delhi",Delhi,5.0,1000,Multicuisine,Dinner,20,25
Pour Over ,"Khan Market, Central Delhi",Delhi,4.1,1800,Continental,Dinner,15,25
Cosme Horn Please,"Chittaranjan Park, South Delhi",Delhi,4.7,1000,Pan Asian,Dinner,20,25
The Bikers Cafe ,"Golf Course Road, Gurgaon",Gurgaon,4.4,1000,Multicuisine,Dinner,20,25
Le Cantine,"DLF Promenade Mall, Vasant Kunj",Vasant Kunj,4.3,1200,European,Dinner,15,25
Fiaba,"Sector 116, Noida",Noida,4.3,1000,"American, Bakery, European, Italian",Dinner,20,25
Orchid - The Multi-cuisine Restaurant,"Fortune Select Global, Gurgaon",Gurgaon,4.8,3000,Multicuisine,Dinner,20,25
Pindi,"Pandara Road Market, Central Delhi",Delhi,4.7,2400,"Chinese, North Indian",Dinner,10,25
Chicago Pizza,"Kapashera, Gurgaon",Gurgaon,4.0,700,Fast Food,Dinner,40,25
Almadhaq,"Baani square, Sector 50, Gurgaon",Gurgaon,4.7,1000,Lebanese,Dinner,20,25
Bohemian Easy Dining,"Gardens Galleria Mall, Sector 38 Noida",Noida,4.7,1000,Continental,Dinner,20,25
Delectable Cafe,"Baani square, Sector 50, Gurgaon",Gurgaon,4.8,500,Multicuisine,Dinner,15,25
Downtown Noida - Alfresco Pub & Brewery,"Sector 62, Noida",Noida,4.4,1800,Multicuisine,Dinner,20,25
Ilios,"Sector 71, Gurgaon",Gurgaon,4.7,1500,Multicuisine,Dinner,15,25
Zoca Cafe,"Airia Mall, Sector 68, Gurgaon",Gurgaon,4.0,1000,Multicuisine,Dinner,10,25
Melt House,"Greater Kailash (GK) 2, South Delhi",Delhi,4.5,1400,Cafe,Dinner,15,25
Zoca Cafe,"Sector 37, Gurgaon",Gurgaon,4.2,1000,"Indian, Italian",Dinner,10,25
At Live,"Sector 104, Noida",Noida,4.3,1500,Multicuisine,Dinner,20,25
Bottles and Barrels,"Sector 30, Gurgaon",Gurgaon,3.2,2000,Multicuisine,Dinner,25,25
Cafe Taxi,"GTB Nagar, North Delhi",Delhi,4.5,1200,Multicuisine,Dinner,25,25
Bella Rossa,"Vijay Nagar, North Delhi",Delhi,4.3,2000,Multicuisine,Dinner,20,25
Club Gourmand,"Sector 132, Noida",Noida,4.6,1600,"Indian, Pan Asian, Continental",Dinner,50,25
Bella Vino,"AIPL Joy Central, Sector 65, Gurgaon",Gurgaon,2.7,1200,Multicuisine,Dinner,25,25
Mala - Akbari,"Ambience Mall, Vasant Kunj",Vasant Kunj,4.3,2000,"Mughlai, North Indian",Dinner,15,25
SILQ,"Chanakyapuri, Central Delhi",Delhi,5.0,3500,Indian,Dinner,25,0
Moti Mahal ,"DLF Phase 1, Gurgaon",Gurgaon,5.0,1200,Mughlai,Dinner,30,25
Red Chilli,"Paschim Vihar, West Delhi",Delhi,3.8,900,North Indian,Dinner,20,25
Zura,"Safdarjung, South Delhi",Delhi,4.0,2000,Multicuisine,Dinner,10,25
Ginza,"Le Meridien, Gurgaon",Gurgaon,4.0,2500,Japanese,Dinner,20,25
Smoke House Deli,"DLF Promenade Mall, Vasant Kunj",Vasant Kunj,4.4,1950,European,Dinner,15,25
La Kababiyaa,"Sector 7, Dwarka, West Delhi",Delhi,2.6,600,"Chinese, North Indian",Dinner,10,25
Aries Cafe,"Gwal Pahari, Gurgaon",Gurgaon,4.0,1000,Multicuisine,Dinner,20,25
The Cheesy Story,"Lajpat Nagar 2, South Delhi",Delhi,4.9,450,"Cafe, Fast Food",Dinner,15,25
White Oak Cafe,"Ghitorni, Delhi NCR",Delhi,5.0,1800,Multicuisine,Dinner,15,25
La Cielo Cafe,"Mayur Vihar Phase 1, East Delhi",Delhi,5.0,1000,Multicuisine,Dinner,15,25
The Game Palacio,"Pitampura, North Delhi",Delhi,5.0,1500,"Italian, Asian",Dinner,25,25
Raqs Sky Bar,"Sector 65, Gurgaon",Gurgaon,2.7,1200,"Cocktail Menu, Multicuisine",Dinner,25,25
Dolche by Duty Free,"GT Karnal Rd, Gujranwala Town, North Delhi",Delhi,4.0,2800,Multicuisine,Dinner,30,25
The Marketplace,"Kirti Nagar, West Delhi",Delhi,4.0,1300,Multicuisine,Dinner,25,25
Zuvaah Terrace Bar & Kitchen,"Sector 65, Gurgaon",Gurgaon,4.3,1200,"Cocktail Menu, Multicuisine",Dinner,30,25
Rookies,"Sector 142, Noida",Noida,3.8,1200,Multicuisine,Dinner,20,25
Ebowla CyberPark,"Sector 39, Gurgaon",Gurgaon,2.8,1000,Multicuisine,Dinner,25,25
Kesar,"Ashok Vihar Phase 2, North Delhi",Delhi,4.4,1000,North Indian,Dinner,10,25
The Chinese Panda,"Sector 29, Gurgaon",Gurgaon,3.7,800,Chinese,Dinner,20,25
Cafe By Soul,"Sector 65, Gurgaon",Gurgaon,4.8,700,Cafe,Dinner,15,25
Kakapo,"Mehrauli, South Delhi",Delhi,4.4,2500,Multicuisine,Dinner,20,25
RHUM Bar and Restaurant,"Sector 66, Gurgaon",Gurgaon,4.0,1100,Multicuisine,Dinner,20,25
